N,94,,1,*,1,1,AND,0,22,13.6,+,22,29,0,15.6,14.6,1,11.7,0.4,0.2,30,S0,1423,"CGCG 479-17",,,,,,,,,,
N,94,,2,,1,1,AND,0,22,13.8,+,22,28,26,16.5,15.5,1,12.6,0.4,0.2,150,S0,1670567,"NPM1G +22.0020",,,,,,,,,,
N,95,,,*,1,1,PSC,0,22,13.6,+,10,29,31,13.2,12.5,0.7,13.2,1.5,1.1,90,SBc/P,1426,"UGC 214","MCG 2-2-3","CGCG 434-3","IRAS 00196+1012",,,,,,,
N,96,,,*,1,1,AND,0,22,17.8,+,22,32,48,15.6,14.6,1,13.4,0.6,0.6,,S0,1429,"MCG 4-2-14",,,,,,,,,,
N,97,,,*,1,1,AND,0,22,30,+,29,44,44,13.3,12.3,1,12.9,1.3,1.3,,E0,1442,"UGC 216","MCG 5-2-7","CGCG 500-9",,,,,,,,
N,98,,,*,1,1,PHE,0,22,49.3,-,45,16,6,13.4,12.7,0.7,13.4,1.6,1.3,0,SBbc,1463,"ESO 242-5",,,,,,,,,,
N,99,,,*,1,1,PSC,0,23,59.6,+,15,46,12,14,13.7,0.3,14.1,1,0.9,42,Sc/P,1523,"UGC 230","MCG 2-2-6","CGCG 434-6","CGCG 457-11","IRAS 00214+1529",,,,,,
N,100,,,*,1,1,PSC,0,24,2.6,+,16,29,11,13.9,13.3,0.6,14.6,4.2,0.5,56,Sc,1525,"UGC 231","MCG 3-2-9","CGCG 457-12","FGC 42",,,,,,,
N,101,,,*,1,1,SCL,0,23,54.5,-,32,32,11,13.4,12.8,0.6,14.3,2.1,2,89,SBc,1518,"ESO 350-14","MCG -5-2-3","IRAS 00214-3248",,,,,,,,
N,102,,,*,1,1,CET,0,24,36.5,-,13,57,22,14.4,13.5,0.9,13,1,0.7,140,SB0-a,1542,"MCG -2-2-11",,,,,,,,,,
N,103,,,*,4,,CAS,0,25,17.3,+,61,19,19,,9.8,,,5,,,II2p,,"OCL 291",,,,,,,,,,
N,104,,,*,5,1,TUC,0,24,5.2,-,72,4,49,,4,,,50,,,III,,"GCL 1","ESO 50-SC9","47 Tuc",,,,,,,,
N,105,,,*,1,1,PSC,0,25,16.9,+,12,53,1,13.9,13.2,0.7,12.8,1.1,0.7,167,Sab,1583,"UGC 241","MCG 2-2-8","CGCG 434-9","IRAS 00226+1236",,,,,,,
N,106,,,*,1,1,PSC,0,24,43.7,-,5,8,56,14.4,13.7,0.7,13,0.9,0.7,100,Scd,1551,,,,,,,,,,,
N,107,,,*,1,1,CET,0,25,42.1,-,8,17,0,15,14.2,0.8,13.3,0.9,0.6,142,Sbc,1606,"MCG -2-2-14",,,,,,,,,,
N,108,,,*,1,1,AND,0,25,59.7,+,29,12,43,13,12.1,0.9,13.5,2.3,1.8,153,SB0-a,1619,"UGC 246","MCG 5-2-12","CGCG 500-20",,,,,,,,
N,109,,,*,1,1,AND,0,26,14.6,+,21,48,28,14.7,13.7,1,13.8,1.1,1,77,SBa,1633,"UGC 251","MCG 4-2-20","CGCG 479-31","KCPG 8B","NPM1G +21.0018",,,,,,
N,110,,,*,4,1,CAS,0,27,25.4,+,71,23,26,,,,,19,,,IV1p,,"OCL 300",,,,,,,,,,
N,111,,,*,10,,CET,0,26,38.3,-,2,37,30,,,,,,,,NF,,,,,,,,,,,,
N,112,,,*,1,1,AND,0,26,48.8,+,31,42,10,14.3,13.6,0.7,12.7,1,0.5,108,Sc,1654,"UGC 255","MCG 5-2-13","CGCG 500-21","KAZ 24","IRAS 00241+3125",,,,,,
N,113,,,*,1,1,CET,0,26,54.7,-,2,30,2,14.1,13.1,1,13.5,1.4,1,135,E-S0,1656,"MCG -1-2-16",,,,,,,,,,
N,114,,,*,1,1,CET,0,26,58.2,-,1,47,9,14.7,13.8,0.9,13.3,0.8,0.7,165,SB0,1660,"UGC 259","MCG 0-2-27","MK 946","KUG 0024-020A","CGCG 383-14","NPM1G -02.0005",,,,,
N,115,,,*,1,1,SCL,0,26,46,-,33,40,34,13.9,13.1,0.8,13.5,1.9,0.9,127,SBbc,1651,"ESO 350-17","MCG -6-2-6",,,,,,,,,
N,116,,,*,10,,CET,0,27,9,-,7,56,18,,,,,,,,NF,,,,,,,,,,,,
N,117,,,*,1,1,CET,0,27,10.9,+,1,20,3,15.2,14.3,0.9,13.3,0.7,0.4,100,S0-a,1674,"MCG 0-2-29","CGCG 383-15",,,,,,,,,
N,118,,,*,1,1,CET,0,27,16.1,-,1,46,47,14.6,13.6,1,12.3,0.7,0.5,40,C,1678,"UGC 264","MCG 0-2-32","MK 947","IRAS 00247-0203","KUG 0024-020B","UM 244","CGCG 383-16","3ZW 9","NPM1G -02.0006",,
N,119,,,*,1,1,PHE,0,26,57.6,-,56,58,40,14,13,1,12.9,1,1,,S0/P,1659,"ESO 150-8",,,,,,,,,,
N,120,,,*,1,1,CET,0,27,30.1,-,1,30,49,14.4,13.4,1,13,1.5,0.6,73,SB0,1693,"UGC 267","MCG 0-2-33","CGCG 383-17",,,,,,,,
N,121,,,*,5,,TUC,0,26,47.1,-,71,32,12,11.2,11.2,,,1.5,,,GCL,,"ESO 50-SC12","in SMC",,,,,,,,,
N,122,,,*,9,1,CET,0,27,38.3,-,1,38,24,15.4,,,,,,,*,,,,,,,,,,,,
N,123,,,*,9,1,CET,0,27,36.2,-,1,35,58,14.2,,,,,,,*,,,,,,,,,,,,
N,124,,,*,1,1,CET,0,27,52.3,-,1,48,37,13.7,13,0.7,12.9,1.4,0.8,168,Sc,1715,"UGC 271","MCG 0-2-38","CGCG 383-18","IRAS 00253-0205",,,,,,,
N,125,,,*,1,1,PSC,0,28,50.3,+,2,50,19,13.1,12.1,1,13,1.8,1.6,85,S0-a,1772,"UGC 286","MCG 0-2-48","CGCG 383-27",,,,,,,,
N,126,,,*,1,1,PSC,0,29,8.1,+,2,48,40,15.2,14.2,1,12.7,0.8,0.4,110,SB0,1784,"MCG 0-2-49","CGCG 383-28",,,,,,,,,
N,127,,,*,1,1,PSC,0,29,12.3,+,2,52,24,15.8,14.8,1,13.7,0.8,0.5,70,S0,1787,"MCG 0-2-50","CGCG 383-29","NPM1G +02.0013","IRAS 00266+0235",,,,,,,
N,128,,,*,1,1,PSC,0,29,14.9,+,2,51,54,12.8,11.8,1,12.7,2.5,0.7,1,S0,1791,"UGC 292","MCG 0-2-51","CGCG 383-29",,,,,,,,
N,129,,,*,4,1,CAS,0,29,58,+,60,12,42,,6.5,,,12,,,IV2p,,"OCL 294",,,,,,,,,,
N,130,,,*,1,1,PSC,0,29,18.6,+,2,52,16,15.4,14.4,1,13.1,0.7,0.4,52,E-S0,1794,"MCG 0-2-52","CGCG 383-29",,,,,,,,,
N,131,,,*,1,1,SCL,0,29,38.1,-,33,15,37,13.8,13.2,0.6,13.1,1.8,0.6,63,SBb,1813,"ESO 350-21","MCG -6-2-10","IRAS 00271-3332",,,,,,,,
N,132,,,*,1,1,CET,0,30,10.6,+,2,5,35,13.4,12.6,0.8,13.6,1.9,1.5,49,SBbc,1844,"UGC 301","MCG 0-2-63","CGCG 383-32","KUG 0027+018","IRAS 00276+0149",,,,,,
N,133,,,*,4,1,CAS,0,31,18,+,63,21,6,,9.4,,,3,,,IV1p,,"OCL 296",,,,,,,,,,
N,134,,,*,1,1,SCL,0,30,21.8,-,33,14,42,11.2,10.4,0.8,13.3,8.4,1.8,50,SBbc,1851,"ESO 350-23","MCG -6-2-12","AM 0027-333","IRAS 00278-3331",,,,,,,
N,135,,,*,1,1,CET,0,31,45.9,-,13,20,16,15.9,15.1,0.8,13.4,0.5,0.5,,S,138192,"IC 26",,,,,,,,,,
